PLANT;PN_ASS;PN_COM;DATEFROM_VALID;BOM_QTY
71;E001320;E000131;12/02/10;1
71;E001321;E000233;15/02/10;1
71;E001322;E000129;09/03/10;1
71;E001323;E000233;26/02/10;1,05
71;E001325;E000812;08/03/10;1
71;E001326;E000812;08/03/10;1
71;E001327;E000812;09/03/10;1
71;E001328;E000813;09/03/10;1
71;E001330;E000129;26/03/10;1
71;E001331;E000233;24/03/10;1
71;E001332;E000850;24/03/10;1
71;E001334;E000812;30/03/10;1
71;E001335;E000812;30/03/10;1
71;E001336;E000129;19/05/10;1
71;E001337;E000233;07/04/10;1
71;E001338;E000129;07/04/10;1
71;E001339;E000812;12/04/10;1
71;E001348;E001264;15/06/10;1
71;E001349;E000813;27/04/10;1
71;E001350;E000129;27/04/10;1
71;E001351;E002149;03/05/10;1
71;E001352;E000131;10/05/10;1
71;E001353;E000812;28/06/10;1
71;E001355;E000233;19/05/10;1
71;E001359;E000129;27/04/10;1
71;E001362;E000812;26/05/10;1
71;E001364;E000129;27/05/10;1
71;E001365;E000129;01/09/10;1
71;E001366;E000129;26/07/10;1
71;E001369;E000128;03/06/10;1
71;E001370;E000129;03/06/10;1
71;E001371;E000129;25/06/10;1
71;E001372;E000812;10/06/10;1
71;E001373;E000131;18/06/10;1
71;E001374;E000131;18/06/10;1
71;E001375;E000131;14/06/10;1
71;E001376;E000129;23/06/10;1
71;E001378;E001377;22/06/10;1
71;E001379;E000812;25/06/10;1
71;E001381;E000129;09/07/10;1
71;E001382;E000233;08/07/10;1
71;E001384;E000813;21/03/16;1
71;E001387;E000241;21/07/10;1
71;E001389;E000813;19/07/10;1
71;E001390;E000129;02/08/10;1
71;E001393;E000217;27/07/10;1
71;E001393;E001368;27/07/10;1
71;E001394;E000129;28/07/10;1
71;E001397;E000812;06/08/10;1
71;E001398;E000812;06/08/10;1
71;E001401;E000233;30/08/10;1
71;E001402;E000813;01/09/10;1
71;E001406;E000129;21/09/10;1
71;E001407;E000812;15/09/10;1
71;E001408;E000131;09/11/10;1
71;E001410;E001403;09/12/10;1
71;E001410;E001410;27/06/16;1
71;E001410;E001410;27/06/16;1
71;E001410;E001410;27/06/16;1
71;E001410;E001403;02/12/16;1
71;E001411;E000813;23/09/10;1
71;E001412;E000241;28/09/10;1
71;E001413;E000129;29/09/10;1
71;E001415;E001403;05/10/10;1
71;E001416;E000233;15/10/10;1
71;E001417;E000812;18/10/10;1
71;E001418;E000850;26/10/10;1
71;E001422;E002150;09/11/10;1
71;E001423;E002150;09/11/10;1
71;E001424;E001426;10/11/10;1
71;E001425;E001426;09/11/10;1
71;E001427;E000812;10/11/10;1
71;E001429;E000131;24/11/10;1
71;E001430;E000129;25/11/10;1
71;E001431;E000129;25/11/10;1
71;E001432;E000233;25/11/10;1
71;E001433;E001409;01/12/10;1
71;E001434;E001403;11/12/10;1
71;E001434;E001403;29/07/16;1
71;E001435;E000850;28/12/10;1
71;E001439;E000233;29/12/10;1
71;E001440;E000129;31/12/10;1
71;E001441;E000812;16/02/11;1
71;E001443;E000813;12/01/11;1
71;E001444;E000813;12/01/11;1
71;E001446;E000813;20/01/11;1
71;E001447;E000129;26/01/11;1
71;E001448;E000813;17/01/11;1
71;E001449;E002150;20/01/11;1
71;E001450;E000812;27/01/11;1
71;E001451;E000129;31/01/11;1
71;E001452;E000129;31/01/11;1
71;E001453;E000813;04/02/11;1
71;E001454;E000813;04/02/11;1
71;E001455;E000233;07/02/11;1
71;E001456;E001403;16/02/11;1
71;E001457;E000233;09/02/11;1
71;E001458;E000850;21/02/11;1
71;E001459;E000129;24/02/11;1
71;E001460;E000812;25/02/11;1
71;E001461;E000812;05/04/22;1
71;E001462;E000131;04/03/11;1
71;E001463;E001086;01/03/11;1
71;E001464;E000129;04/03/11;1
71;E001466;E000129;10/03/11;1
71;E001467;E000129;10/03/11;1
71;E001468;E000129;14/03/11;1
71;E001469;E000813;14/03/11;1
71;E001470;E001403;14/03/11;1
71;E001471;E000129;04/05/11;1
71;E001472;E001403;15/03/11;1
71;E001473;E001403;15/03/11;1
71;E001474;E001403;15/03/11;1
71;E001475;E000129;16/03/11;1
71;E001476;E000129;16/03/11;1
71;E001477;E000129;16/03/11;1
71;E001478;E000129;16/03/11;1
71;E001479;E000129;16/03/11;1
71;E001480;E000128;16/03/11;1
71;E001481;E000850;28/03/11;1
71;E001482;E000233;08/04/11;1
71;E001485;E000233;04/05/11;1
71;E001486;E000812;16/05/11;1
71;E001487;E000813;26/05/11;1
71;E001488;E000812;11/05/11;1
71;E001489;E000233;23/05/11;1
71;E001490;E001407;27/09/11;1
71;E001491;E000810;01/06/11;1
71;E001492;E000233;26/05/11;1
71;E001493;E001087;20/06/11;1
