PLANT;SELL_ORD;SELL_ORDER_TYPE
71;240.774;VD
71;240.775;VD
71;240.776;VD
71;240.777;VD
71;240.778;VD
71;240.780;VD
71;240.781;VD
71;240.782;VD
71;240.784;VD
71;240.786;VM
71;240.787;VM
71;240.788;VM
71;240.789;VM
71;240.790;VM
71;240.791;VM
71;240.792;VM
71;240.793;VM
71;240.795;VM
71;240.796;VM
71;240.797;VM
71;240.798;VD
71;240.800;VD
71;240.801;VD
71;240.802;VD
71;240.803;VD
71;240.806;VD
71;240.807;VD
71;240.808;VM
71;240.811;VD
71;240.814;VD
71;240.815;VM
71;240.817;VM
71;240.818;VD
71;240.819;VD
71;240.820;VD
71;240.821;VM
71;240.822;VM
71;240.823;VM
71;240.824;VD
71;240.825;VD
71;240.826;DM
71;240.827;VD
71;240.829;VM
71;240.831;VD
71;240.832;VM
71;240.833;VM
71;240.834;VD
71;240.835;VD
71;240.839;VD
71;240.840;VM
71;240.841;VD
71;240.842;VM
71;240.844;DM
71;240.849;VD
71;240.850;VD
71;240.851;VD
71;240.852;VM
71;240.853;VD
71;240.854;VD
71;240.855;VD
71;240.856;VD
71;240.857;VD
71;240.858;VD
71;240.859;VD
71;240.860;VD
71;240.861;VM
71;240.862;VD
71;240.863;VD
71;240.864;VD
71;240.865;VD
71;240.866;VD
71;240.867;VD
71;240.868;VD
71;240.869;VM
71;240.870;VD
71;240.871;VD
71;240.872;VD
71;240.874;VM
71;240.875;VM
71;240.876;LV
71;240.879;VD
71;240.880;VM
71;240.884;VD
71;240.885;VD
71;240.886;DM
71;240.887;VD
71;240.888;VD
71;240.890;VG
71;240.891;VD
71;240.892;LP
71;240.893;VD
71;240.894;VD
71;240.896;VD
71;240.897;VM
71;240.898;VD
71;240.899;VD
71;240.900;VD
71;240.901;VD
71;240.904;VM
71;240.905;VM
71;240.906;VM
71;240.907;VD
